moran,distance,site
0.8595518129220693,10,blaesedalen
0.7616277434410886,20,blaesedalen
0.6632036581172701,30,blaesedalen
0.6037075719457804,40,blaesedalen
0.5529389698877878,50,blaesedalen
0.5244628646201338,60,blaesedalen
0.5016947637493125,70,blaesedalen
0.47649032491156307,80,blaesedalen
0.44737336151400786,90,blaesedalen
0.4161013636597918,100,blaesedalen
0.3888491755431582,110,blaesedalen
0.3617146659956296,120,blaesedalen
0.32597501732366063,130,blaesedalen
0.294236545267582,140,blaesedalen
0.26101244174255717,150,blaesedalen
0.23401215605127504,160,blaesedalen
0.2050575460340219,170,blaesedalen
0.17773689873116802,180,blaesedalen
0.15135440887796034,190,blaesedalen
0.1259321392043917,200,blaesedalen
0.10657296413255989,210,blaesedalen
0.08519112360603576,220,blaesedalen
0.06895071891575996,230,blaesedalen
0.056329378890992925,240,blaesedalen
0.043831462581235575,250,blaesedalen
0.03578070049754549,260,blaesedalen
0.027669582213913566,270,blaesedalen
0.0218744287998831,280,blaesedalen
0.015873853130635853,290,blaesedalen
0.010042068705754062,300,blaesedalen
0.006858036782424846,310,blaesedalen
0.0035269452935480505,320,blaesedalen
0.0026314728117145447,330,blaesedalen
0.001819836404543227,340,blaesedalen
0.0011086784044687147,350,blaesedalen
0.0010433524499837918,360,blaesedalen
2.3974923180273156e-4,370,blaesedalen
-2.5937842303123943e-4,380,blaesedalen
-8.428982080034134e-4,390,blaesedalen
-0.0011287106126965866,400,blaesedalen
0.906065161122486,10,kluane-low
0.8236702772245705,20,kluane-low
0.7216362759779562,30,kluane-low
0.6374875771813746,40,kluane-low
0.5573542071196246,50,kluane-low
0.5018871642202543,60,kluane-low
0.45709291459646056,70,kluane-low
0.4165848394240346,80,kluane-low
0.3783460772844574,90,kluane-low
0.345091932271502,100,kluane-low
0.3181815982374797,110,kluane-low
0.29561778412899464,120,kluane-low
0.27252871631410774,130,kluane-low
0.2549797624574804,140,kluane-low
0.23797036914868527,150,kluane-low
0.22289327946083173,160,kluane-low
0.20519332125573386,170,kluane-low
0.18721154741804233,180,kluane-low
0.16661675907667928,190,kluane-low
0.1471362890003325,200,kluane-low
0.1300878000176357,210,kluane-low
0.11160732079512735,220,kluane-low
0.09604851141479645,230,kluane-low
0.0806715680549103,240,kluane-low
0.06511239791883063,250,kluane-low
0.05044116465406128,260,kluane-low
0.03770912150873761,270,kluane-low
0.026877974806863096,280,kluane-low
0.017702270184687053,290,kluane-low
0.010435730424322168,300,kluane-low
0.005624476102115836,310,kluane-low
0.002429698395028743,320,kluane-low
7.444305182765453e-4,330,kluane-low
-3.5844451097143836e-4,340,kluane-low
-0.0010427792525437476,350,kluane-low
-0.0012736685710036696,360,kluane-low
-0.0014191209788201233,370,kluane-low
-0.001482481298666512,380,kluane-low
-0.0015130304636053183,390,kluane-low
-0.0015174506828528082,400,kluane-low
0.7672819137705787,10,kluane-high
0.6453598745330068,20,kluane-high
0.5323965980092008,30,kluane-high
0.45209007666502155,40,kluane-high
0.3741784696150604,50,kluane-high
0.32293379521210863,60,kluane-high
0.28414760777236825,70,kluane-high
0.25037286667868486,80,kluane-high
0.22220689916269035,90,kluane-high
0.19794810392176185,100,kluane-high
0.1793621335226759,110,kluane-high
0.16269420562195985,120,kluane-high
0.14317552743188883,130,kluane-high
0.12704821926738447,140,kluane-high
0.1125550785150114,150,kluane-high
0.10057155228575901,160,kluane-high
0.08897033498822497,170,kluane-high
0.07929831070944164,180,kluane-high
0.07007976579765277,190,kluane-high
0.06251556821794652,200,kluane-high
0.05546254253718024,210,kluane-high
0.04694984306903121,220,kluane-high
0.039080783245833,230,kluane-high
0.031011533367141485,240,kluane-high
0.02277140859541904,250,kluane-high
0.015189859776547885,260,kluane-high
0.009125730496559674,270,kluane-high
0.00475652196373609,280,kluane-high
0.0018024052822885567,290,kluane-high
-3.80855592332095e-4,300,kluane-high
-0.00176337799336386,310,kluane-high
-0.002635463736494766,320,kluane-high
-0.002410133906089907,330,kluane-high
-0.0017743401616815823,340,kluane-high
-6.935282098608218e-4,350,kluane-high
1.5482329041341327e-6,360,kluane-high
3.781892093776191e-4,370,kluane-high
2.938813715369028e-4,380,kluane-high
9.449044717764914e-5,390,kluane-high
-2.259626208119229e-4,400,kluane-high
